theme_short_code,operation_short_code
flow,min_flow
flow,funct_flow
flow,mod_funct_flow
gw_ag,reduce_gw_SJV
gw_ag,reduce_gw_Sac
gw_ag,reduce_irr_SJV
gw_ag,reduce_irr_Sac
drinking_water,comm_delivery_HHS
drinking_water,comm_delivery_functional
drinking_water,comm_delivery_full
delta_outflow,delta_outflow_35
delta_outflow,delta_outflow_45
delta_outflow,delta_outflow_55
delta_outflow,delta_outflow_65
delta_outflow,delta_outflow_75
delta_uses,increase_Shasta_co
delta_uses,reduce_irr_Sac
delta_uses,delta_outflow_55
delta_uses,delta_outflow_65
delta_uses,delta_outflow_75
delta_uses,delta_salinity_standards
delta_export_reliability,delta_outflow_35
delta_export_reliability,reduce_irr_Sac
delta_export_reliability,delta_conveyance